DATA,,,,,,
key,data,,,,,
token_name,1INCH,,,,,
token_symbol,1INCH,,,,,
start_date,31/12/2020,,,,,
total_supply,1500000000,,,,,
emission_schedule,30D,,,,,
DISTRIBUTION,,,,,,
entity,Backers 1,Backers 2,Small Backers,Core Contributors,Network Growth Fund,Community Incentives
type,amount,amount,amount,amount,amount,amount
group,investors,investors,investors,team_advisors,foundation,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock
allocation,277500000,183000000,34500000,337500000,217500000,450000000
t000,0,0,0,0,71833333.33,150000000
t001,0,0,0,0,74868055.55,156250000
t002,0,0,0,0,77902777.77,162500000
t003,0,0,0,0,80937499.99,168750000
t004,0,0,0,0,83972222.21,175000000
t005,0,0,0,0,87006944.43,181250000
t006,0,0,0,0,90041666.65,187500000
t007,0,0,0,0,93076388.87,193750000
t008,0,0,0,0,96111111.09,200000000
t009,0,0,0,0,99145833.31,206250000
t010,0,0,0,0,102180555.5,212500000
t011,0,0,0,0,105215277.8,218750000
t012,70625000,45000000,4900000,48200000,108250000,225000000
t013,82395833.33,52500000,5725000,56233333.33,111284722.2,231250000
t014,94166666.67,60000000,6550000,64266666.67,114319444.4,237500000
t015,105937500,67500000,7375000,72300000,117354166.6,243750000
t016,117708333.3,75000000,8200000,80333333.33,120388888.9,250000000
t017,129479166.7,82500000,9025000,88366666.67,123423611.1,256250000
t018,141250000,90000000,9850000,96400000,126458333.3,262500000
t019,153020833.3,97500000,10675000,104433333.3,129493055.5,268750000
t020,164791666.7,105000000,11500000,112466666.7,132527777.7,275000000
t021,176562500,112500000,12325000,120500000,135562500,281250000
t022,188333333.3,120000000,13150000,128533333.3,138597222.2,287500000
t023,200104166.7,127500000,13975000,136566666.7,141631944.4,293750000
t024,211875000,135000000,14800000,144600000,144666666.6,300000000
t025,223645833.3,142500000,15625000,152633333.3,147701388.8,306250000
t026,235416666.7,150000000,16450000,160666666.7,150736111.1,312500000
t027,247187500,157500000,17275000,168700000,153770833.3,318750000
t028,258958333.3,165000000,18100000,176733333.3,156805555.5,325000000
t029,270729166.7,172500000,18925000,184766666.7,159840277.7,331250000
t030,282500000,180000000,19750000,192800000,162874999.9,337500000
t031,282500000,180000000,20575000,200833333.3,165909722.2,343750000
t032,282500000,180000000,21400000,208866666.7,168944444.4,350000000
t033,282500000,180000000,22225000,216900000,171979166.6,356250000
t034,282500000,180000000,23050000,224933333.3,175013888.8,362500000
t035,282500000,180000000,23875000,232966666.7,178048611,368750000
t036,282500000,180000000,24700000,241000000,181083333.3,375000000
t037,282500000,180000000,25525000,249033333.3,184118055.5,381250000
t038,282500000,180000000,26350000,257066666.7,187152777.7,387500000
t039,282500000,180000000,27175000,265100000,190187499.9,393750000
t040,282500000,180000000,28000000,273133333.3,193222222.1,400000000
t041,282500000,180000000,28825000,281166666.7,196256944.4,406250000
t042,282500000,180000000,29650000,289200000,199291666.6,412500000
t043,282500000,180000000,30475000,297233333.3,202326388.8,418750000
t044,282500000,180000000,31300000,305266666.7,205361111,425000000
t045,282500000,180000000,32125000,313300000,208395833.2,431250000
t046,282500000,180000000,32950000,321333333.3,211430555.5,437500000
t047,282500000,180000000,33775000,329366666.7,214465277.7,443750000
t048,282500000,180000000,34500000,337500000,217500000,450000000
