DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (in-game currency),,,,,
token_symbol,ATLAS,,,,,
start_date,01/09/2021,,,,,
start_tokens,36000000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.50,1.50,2.00,4.00,65.00,5.00
t000,1.125000,0.075000,2.000000,4.000000,0.000000,0.000000
t001,2.015625,0.134375,2.000000,4.000000,0.677083,0.208333
t002,2.906250,0.193750,2.000000,4.000000,1.354167,0.416667
t003,3.796875,0.253125,2.000000,4.000000,2.031250,0.625000
t004,4.687500,0.312500,2.000000,4.000000,2.708333,0.833333
t005,5.578125,0.371875,2.000000,4.000000,3.385417,1.041667
t006,6.468750,0.431250,2.000000,4.000000,4.062500,1.250000
t007,7.359375,0.490625,2.000000,4.000000,4.739583,1.458333
t008,8.250000,0.550000,2.000000,4.000000,5.416667,1.666667
t009,9.140625,0.609375,2.000000,4.000000,6.093750,1.875000
t010,10.031250,0.668750,2.000000,4.000000,6.770833,2.083333
t011,10.921875,0.728125,2.000000,4.000000,7.447917,2.291667
t012,11.812500,0.787500,2.000000,4.000000,8.125000,2.500000
t013,12.703125,0.846875,2.000000,4.000000,8.802083,2.708333
t014,13.593750,0.906250,2.000000,4.000000,9.479167,2.916667
t015,14.484375,0.965625,2.000000,4.000000,10.156250,3.125000
t016,15.375000,1.025000,2.000000,4.000000,10.833333,3.333333
t017,16.265625,1.084375,2.000000,4.000000,11.510417,3.541667
t018,17.156250,1.143750,2.000000,4.000000,12.187500,3.750000
t019,18.046875,1.203125,2.000000,4.000000,12.864583,3.958333
t020,18.937500,1.262500,2.000000,4.000000,13.541667,4.166667
t021,19.828125,1.321875,2.000000,4.000000,14.218750,4.375000
t022,20.718750,1.381250,2.000000,4.000000,14.895833,4.583333
t023,21.609375,1.440625,2.000000,4.000000,15.572917,4.791667
t024,22.500000,1.500000,2.000000,4.000000,16.250000,5.000000
t025,22.500000,1.500000,2.000000,4.000000,16.927083,5.000000
t026,22.500000,1.500000,2.000000,4.000000,17.604167,5.000000
t027,22.500000,1.500000,2.000000,4.000000,18.281250,5.000000
t028,22.500000,1.500000,2.000000,4.000000,18.958333,5.000000
t029,22.500000,1.500000,2.000000,4.000000,19.635417,5.000000
t030,22.500000,1.500000,2.000000,4.000000,20.312500,5.000000
t031,22.500000,1.500000,2.000000,4.000000,20.989583,5.000000
t032,22.500000,1.500000,2.000000,4.000000,21.666667,5.000000
t033,22.500000,1.500000,2.000000,4.000000,22.343750,5.000000
t034,22.500000,1.500000,2.000000,4.000000,23.020833,5.000000
t035,22.500000,1.500000,2.000000,4.000000,23.697917,5.000000
t036,22.500000,1.500000,2.000000,4.000000,24.375000,5.000000
t037,22.500000,1.500000,2.000000,4.000000,25.052083,5.000000
t038,22.500000,1.500000,2.000000,4.000000,25.729167,5.000000
t039,22.500000,1.500000,2.000000,4.000000,26.406250,5.000000
t040,22.500000,1.500000,2.000000,4.000000,27.083333,5.000000
t041,22.500000,1.500000,2.000000,4.000000,27.760417,5.000000
t042,22.500000,1.500000,2.000000,4.000000,28.437500,5.000000
t043,22.500000,1.500000,2.000000,4.000000,29.114583,5.000000
t044,22.500000,1.500000,2.000000,4.000000,29.791667,5.000000
