DATA,,,,,,,
key,data,,,,,,
token_name,Aurory,,,,,,
token_symbol,AURY,,,,,,
start_date,25/10/2021,,,,,,
start_tokens,100000000,,,,,,
emission_schedule,30D,,,,,,
emission_type,inflationary,,,,,,
emission_incentive,p2e,,,,,,
DISTRIBUTION,,,,,,,
entity,Public Sale,Seed,Liquidity,Treasury,Ecosystem,Team,P2E
type,percentage,percentage,percentage,percentage,percentage,percentage,inflationary
group,public,investors,ecosystem,foundation,ecosystem,team_advisors,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock,staking
allocation,7.000000,18.000000,4.000000,24.000000,7.000000,15.000000,25.000000
t000,7.000000,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000
t001,7.000000,0.000000,4.000000,0.000000,0.097222,0.000000,0.000000
t002,7.000000,0.000000,4.000000,0.000000,0.194444,0.000000,0.000000
t003,7.000000,0.000000,4.000000,0.000000,0.291667,0.000000,0.357143
t004,7.000000,3.000000,4.000000,0.000000,0.388889,0.000000,0.714286
t005,7.000000,3.750000,4.000000,0.000000,0.486111,0.000000,1.071429
t006,7.000000,4.500000,4.000000,0.000000,0.583333,0.000000,1.428571
t007,7.000000,5.250000,4.000000,4.666667,0.680556,2.187500,1.785714
t008,7.000000,6.000000,4.000000,5.333333,0.777778,2.500000,2.142857
t009,7.000000,6.750000,4.000000,6.000000,0.875000,2.812500,2.500000
t010,7.000000,7.500000,4.000000,6.666667,0.972222,3.125000,2.857143
t011,7.000000,8.250000,4.000000,7.333333,1.069444,3.437500,3.214286
t012,7.000000,9.000000,4.000000,8.000000,1.166667,3.750000,3.571429
t013,7.000000,9.750000,4.000000,8.666667,1.263889,4.062500,3.928571
t014,7.000000,10.500000,4.000000,9.333333,1.361111,4.375000,4.285714
t015,7.000000,11.250000,4.000000,10.000000,1.458333,4.687500,4.642857
t016,7.000000,12.000000,4.000000,10.666667,1.555556,5.000000,5.000000
t017,7.000000,12.750000,4.000000,11.333333,1.652778,5.312500,5.357143
t018,7.000000,13.500000,4.000000,12.000000,1.750000,5.625000,5.714286
t019,7.000000,14.250000,4.000000,12.666667,1.847222,5.937500,6.071429
t020,7.000000,15.000000,4.000000,13.333333,1.944444,6.250000,6.428571
t021,7.000000,15.750000,4.000000,14.000000,2.041667,6.562500,6.785714
t022,7.000000,16.500000,4.000000,14.666667,2.138889,6.875000,7.142857
t023,7.000000,17.250000,4.000000,15.333333,2.236111,7.187500,7.500000
t024,7.000000,18.000000,4.000000,16.000000,2.333333,7.500000,7.857143
t025,7.000000,18.000000,4.000000,16.666667,2.430556,7.812500,8.214286
t026,7.000000,18.000000,4.000000,17.333333,2.527778,8.125000,8.571429
