DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
allocation,9,2,0.6,10,10,68.4
t000,0,2,0.6,2,0,0
t001,0,2,0.6,2,0,0
t002,0,2,0.6,2,0,0
t003,0,2,0.6,2,0,0
t004,0,2,0.6,2,0,0
t005,0,2,0.6,2,0,0
t006,0,2,0.6,2,0,0
t007,0,2,0.6,2,0,0
t008,0,2,0.6,2,0,0
t009,0,2,0.6,2,0,0
t010,0,2,0.6,2,0,0
t011,0,2,0.6,2,0,0
t012,0,2,0.6,2,0,0
t013,0,2,0.6,2,0,0
t014,0,2,0.6,2,0,0
t015,0,2,0.6,2,0,0
t016,0,2,0.6,2,0,0
t017,0,2,0.6,2,0,0
t018,0,2,0.6,2,0,0
t019,0,2,0.6,2,0,0
t020,0,2,0.6,2,0,0
t021,0,2,0.6,2,0,0
t022,0,2,0.6,2,0,0
t023,0,2,0.6,2,0,0
t024,0,2,0.6,2,0,0
t025,0,2,0.6,2,0,0
t026,0,2,0.6,2,0,0
t027,0,2,0.6,2,0,0
t028,0,2,0.6,2,0,0
t029,0,2,0.6,2,0,0
t030,0,2,0.6,2,0,0
t031,0,2,0.6,2,0,0
t032,0,2,0.6,2,0,0
t033,0,2,0.6,2,0,0
t034,0,2,0.6,2,0,0
t035,0,2,0.6,2,0,0
t036,0,2,0.6,2,0,0
t037,0,2,0.6,2,0,0
t038,0,2,0.6,2,0,0
t039,0,2,0.6,2,0,0
t040,0,2,0.6,2,0,0
t041,0,2,0.6,2,0,0
t042,0,2,0.6,2,0,0
t043,0,2,0.6,2,0,0
t044,0,2,0.6,2,0,0
t045,0,2,0.6,2,0,0
t046,0,2,0.6,2,0,0
t047,0,2,0.6,2,0,0
t048,0,2,0.6,2,0,0
t049,0,2,0.6,2,0,0
t050,0,2,0.6,2,0,0
t051,0,2,0.6,2,0,0
t052,0,2,0.6,2,0,0
t053,0,2,0.6,2,0,0
t054,0,2,0.6,2,0,0
t055,0,2,0.6,2,0,0
t056,0,2,0.6,2,0,0
t057,0,2,0.6,2,0,0
t058,0,2,0.6,2,0,0
t059,0,2,0.6,2,0,0
t060,0,2,0.6,2,0,0
t061,0,2,0.6,2,0,0
t062,0,2,0.6,2,0,0
t063,0,2,0.6,2,0,0
t064,0,2,0.6,2,0,0
t065,0,2,0.6,2,0,0
t066,0,2,0.6,2,0,0
t067,0,2,0.6,2,0,0
t068,0,2,0.6,2,0,0
t069,0,2,0.6,2,0,0
t070,0,2,0.6,2,0,0
t071,0,2,0.6,2,0,0
t072,0,2,0.6,2,0,0
t073,0,2,0.6,2,0,0
t074,0,2,0.6,2,0,0
t075,0,2,0.6,2,0,0
t076,0,2,0.6,2,0,0
t077,0,2,0.6,2,0,0
t078,0,2,0.6,2,0,0
t079,0,2,0.6,2,0,0
