DATA,,,,,,,,,,,,,,
key,data,,,,,,,,,,,,,
token_name,FTX Token,,,,,,,,,,,,,
token_symbol,FTT,,,,,,,,,,,,,
start_date,29/07/2019,,,,,,,,,,,,,
start_tokens,350000000,,,,,,,,,,,,,
emission_schedule,30D,,,,,,,,,,,,,
emission_type,deflationary,,,,,,,,,,,,,
emission_incentive,,,,,,,,,,,,,,
DISTRIBUTION,,,,,,,,,,,,,,
entity,Private Sale – Round 1,Private Sale – Round 2,Private Sale – Round 3,Unnamed Investors,Company,Backstop Fund,Safety Fund,FTT Liquidity Fund,Team,Advisers,Company Tokens,Ecosystem Fund,User Acquisition Fund,Burn
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,deflationary
group,investor,investor,investor,investor,team_advisors,foundation,foundation,foundation,team_advisors,team_advisors,team_advisors,ecosystem,ecosystem,burn
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,burn
allocation,14.29,1.86,0.8,4.05,49.01,1.5,1.5,6,6,1.5,7.5,3,3,0
t000,3.571428571,0.62,0.4,4.05,0,1.5,1.5,6,6,1.5,0,3,3,
t001,7.142857143,1.24,0.8,4.05,1.361413333,1.5,1.5,6,6,1.5,0.2083333333,3,3,0.1023752
t002,10.71428571,1.86,0.8,4.05,2.722826667,1.5,1.5,6,6,1.5,0.4166666667,3,3,0.0523716
t003,14.28571429,1.857142857,0.8,4.05,4.08424,1.5,1.5,6,6,1.5,0.625,3,3,0.105477
t004,14.28571429,1.857142857,0.8,4.05,5.445653333,1.5,1.5,6,6,1.5,0.8333333333,3,3,0.085673
t005,14.28571429,1.857142857,0.8,4.05,6.807066667,1.5,1.5,6,6,1.5,1.041666667,3,3,0.0540344
t006,14.28571429,1.857142857,0.8,4.05,8.16848,1.5,1.5,6,6,1.5,1.25,3,3,0.0479556
t007,14.28571429,1.857142857,0.8,4.05,9.529893333,1.5,1.5,6,6,1.5,1.458333333,3,3,0.0780036
t008,14.28571429,1.857142857,0.8,4.05,10.89130667,1.5,1.5,6,6,1.5,1.666666667,3,3,0.1682298
t009,14.28571429,1.857142857,0.8,4.05,12.25272,1.5,1.5,6,6,1.5,1.875,3,3,0.0776562
t010,14.28571429,1.857142857,0.8,4.05,13.61413333,1.5,1.5,6,6,1.5,2.083333333,3,3,0.1703606
t011,14.28571429,1.857142857,0.8,4.05,14.97554667,1.5,1.5,6,6,1.5,2.291666667,3,3,0.0481126
t012,14.28571429,1.857142857,0.8,4.05,16.33696,1.5,1.5,6,6,1.5,2.5,3,3,0.0459644
t013,14.28571429,1.857142857,0.8,4.05,17.69837333,1.5,1.5,6,6,1.5,2.708333333,3,3,0.101237
t014,14.28571429,1.857142857,0.8,4.05,19.05978667,1.5,1.5,6,6,1.5,2.916666667,3,3,0.1047764
t015,14.28571429,1.857142857,0.8,4.05,20.4212,1.5,1.5,6,6,1.5,3.125,3,3,0.0699936
t016,14.28571429,1.857142857,0.8,4.05,21.78261333,1.5,1.5,6,6,1.5,3.333333333,3,3,0.1944462
t017,14.28571429,1.857142857,0.8,4.05,23.14402667,1.5,1.5,6,6,1.5,3.541666667,3,3,0.2031032
t018,14.28571429,1.857142857,0.8,4.05,24.50544,1.5,1.5,6,6,1.5,3.75,3,3,0.215219
t019,14.28571429,1.857142857,0.8,4.05,25.86685333,1.5,1.5,6,6,1.5,3.958333333,3,3,0.1265184
t020,14.28571429,1.857142857,0.8,4.05,27.22826667,1.5,1.5,6,6,1.5,4.166666667,3,3,0.0861126
t021,14.28571429,1.857142857,0.8,4.05,28.58968,1.5,1.5,6,6,1.5,4.375,3,3,0.0826892
t022,14.28571429,1.857142857,0.8,4.05,29.95109333,1.5,1.5,6,6,1.5,4.583333333,3,3,0.128618
t023,14.28571429,1.857142857,0.8,4.05,31.31250667,1.5,1.5,6,6,1.5,4.791666667,3,3,0.111997
t024,14.28571429,1.857142857,0.8,4.05,32.67392,1.5,1.5,6,6,1.5,5,3,3,0.0728344
t025,14.28571429,1.857142857,0.8,4.05,34.03533333,1.5,1.5,6,6,1.5,5.208333333,3,3,0.1005156
t026,14.28571429,1.857142857,0.8,4.05,35.39674667,1.5,1.5,6,6,1.5,5.416666667,3,3,0.082432
t027,14.28571429,1.857142857,0.8,4.05,36.75816,1.5,1.5,6,6,1.5,5.625,3,3,0.0794566
t028,14.28571429,1.857142857,0.8,4.05,38.11957333,1.5,1.5,6,6,1.5,5.833333333,3,3,0.1379294
t029,14.28571429,1.857142857,0.8,4.05,39.48098667,1.5,1.5,6,6,1.5,6.041666667,3,3,0.107935
t030,14.28571429,1.857142857,0.8,4.05,40.8424,1.5,1.5,6,6,1.5,6.25,3,3,0.1545612
t031,14.28571429,1.857142857,0.8,4.05,42.20381333,1.5,1.5,6,6,1.5,6.458333333,3,3,0.0657974
t032,14.28571429,1.857142857,0.8,4.05,43.56522667,1.5,1.5,6,6,1.5,6.666666667,3,3,0.1040614
t033,14.28571429,1.857142857,0.8,4.05,44.92664,1.5,1.5,6,6,1.5,6.875,3,3,0.0799744
t034,14.28571429,1.857142857,0.8,4.05,46.28805333,1.5,1.5,6,6,1.5,7.083333333,3,3,0.1705126
t035,14.28571429,1.857142857,0.8,4.05,47.64946667,1.5,1.5,6,6,1.5,7.291666667,3,3,0.1394886
t036,14.28571429,1.857142857,0.8,4.05,49.01088,1.5,1.5,6,6,1.5,7.5,3,3,0.1010296
t037,14.28571429,1.857142857,0.8,4.05,49.01088,1.5,1.5,6,6,1.5,7.5,3,3,0.125877
t038,14.28571429,1.857142857,0.8,4.05,49.01088,1.5,1.5,6,6,1.5,7.5,3,3,0.1191846
t039,14.28571429,1.857142857,0.8,4.05,49.01088,1.5,1.5,6,6,1.5,7.5,3,3,0.0965164
t040,14.28571429,1.857142857,0.8,4.05,49.01088,1.5,1.5,6,6,1.5,7.5,3,3,0.0219474
