DATA,,,,
key,data,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t000,0.000000,1.500000,0.000000,2.000000
t001,0.000000,1.500000,0.000000,2.021358
t002,0.000000,1.500000,0.000000,2.042716
t003,0.000000,1.500000,0.000000,2.064074
t004,0.000000,1.500000,0.000000,2.085433
t005,0.000000,1.500000,0.000000,2.106791
t006,0.000000,1.500000,0.000000,2.128149
t007,0.000000,1.500000,0.000000,2.149507
t008,0.000000,1.500000,0.000000,2.170865
t009,0.000000,1.500000,0.000000,2.192223
t010,0.000000,1.500000,0.000000,2.213582
t011,0.000000,1.500000,0.000000,2.234940
t012,0.000000,1.500000,0.000000,2.256298
t013,0.000000,1.500000,0.000000,2.277656
t014,0.000000,1.500000,0.000000,2.299014
t015,0.000000,1.500000,0.000000,2.320372
t016,0.000000,1.500000,0.000000,2.341731
t017,0.000000,1.500000,0.000000,2.363089
t018,0.000000,1.500000,0.000000,2.384447
t019,0.000000,1.500000,0.000000,2.405805
t020,0.000000,1.500000,0.000000,2.427163
t021,0.000000,1.500000,0.000000,2.448521
t022,0.000000,1.500000,0.000000,2.469880
t023,0.000000,1.500000,0.000000,2.491238
t024,0.000000,1.500000,0.000000,2.512596
t025,0.000000,1.500000,0.000000,2.533954
t026,0.000000,1.500000,0.000000,2.555312
t027,0.000000,1.500000,0.000000,2.576670
t028,0.000000,1.500000,0.000000,2.598028
t029,0.000000,1.500000,0.000000,2.619387
t030,0.000000,1.500000,0.000000,2.640745
t031,0.000000,1.500000,0.000000,2.662103
t032,0.000000,1.500000,0.000000,2.683461
t033,0.000000,1.500000,0.000000,2.704819
t034,0.000000,1.500000,0.000000,2.726177
t035,0.000000,1.500000,0.000000,2.747536
t036,0.000000,1.500000,0.000000,2.768894
t037,0.000000,1.500000,0.000000,2.790252
t038,0.000000,1.500000,0.000000,2.811610
t039,0.000000,1.500000,0.000000,2.832968
t040,0.000000,1.500000,0.000000,2.854326
t041,0.000000,1.500000,0.000000,2.875685
t042,0.000000,1.500000,0.000000,2.897043
t043,0.000000,1.500000,0.000000,2.918401
t044,0.000000,1.500000,0.000000,2.939759
t045,0.000000,1.500000,0.000000,2.961117
t046,0.000000,1.500000,0.000000,2.982475
t047,0.000000,1.500000,0.000000,3.003834
