DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,ecosystem,team_advisors,ecosystem,ecosystem,team_advisors,investors,public,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,10,15,10,25,10,2,8.00
t000,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t001,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t002,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t003,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t004,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t005,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t006,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t007,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t008,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t009,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t010,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t011,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t012,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t013,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t014,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t015,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t016,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t017,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t018,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t019,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t020,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t021,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t022,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t023,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t024,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t025,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t026,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t027,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t028,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t029,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t030,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t031,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t032,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t033,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t034,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t035,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t036,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t037,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
