DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (governance token),,,,,
token_symbol,POLIS,,,,,
start_date,01/09/2021,,,,,
start_tokens,360000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.5000000,1.5000000,2.0000000,4.0000000,40.0000000,30.0000000
t000,1.1250000,0.0750000,2.0000000,4.0000000,0.0000000,0.0000000
t001,2.0156250,0.1343750,2.0000000,4.0000000,0.4166667,1.2500000
t002,2.9062500,0.1937500,2.0000000,4.0000000,0.8333333,2.5000000
t003,3.7968750,0.2531250,2.0000000,4.0000000,1.2500000,3.7500000
t004,4.6875000,0.3125000,2.0000000,4.0000000,1.6666667,5.0000000
t005,5.5781250,0.3718750,2.0000000,4.0000000,2.0833333,6.2500000
t006,6.4687500,0.4312500,2.0000000,4.0000000,2.5000000,7.5000000
t007,7.3593750,0.4906250,2.0000000,4.0000000,2.9166667,8.7500000
t008,8.2500000,0.5500000,2.0000000,4.0000000,3.3333333,10.0000000
t009,9.1406250,0.6093750,2.0000000,4.0000000,3.7500000,11.2500000
t010,10.0312500,0.6687500,2.0000000,4.0000000,4.1666667,12.5000000
t011,10.9218750,0.7281250,2.0000000,4.0000000,4.5833333,13.7500000
t012,11.8125000,0.7875000,2.0000000,4.0000000,5.0000000,15.0000000
t013,12.7031250,0.8468750,2.0000000,4.0000000,5.4166667,16.2500000
t014,13.5937500,0.9062500,2.0000000,4.0000000,5.8333333,17.5000000
t015,14.4843750,0.9656250,2.0000000,4.0000000,6.2500000,18.7500000
t016,15.3750000,1.0250000,2.0000000,4.0000000,6.6666667,20.0000000
t017,16.2656250,1.0843750,2.0000000,4.0000000,7.0833333,21.2500000
t018,17.1562500,1.1437500,2.0000000,4.0000000,7.5000000,22.5000000
t019,18.0468750,1.2031250,2.0000000,4.0000000,7.9166667,23.7500000
t020,18.9375000,1.2625000,2.0000000,4.0000000,8.3333333,25.0000000
t021,19.8281250,1.3218750,2.0000000,4.0000000,8.7500000,26.2500000
t022,20.7187500,1.3812500,2.0000000,4.0000000,9.1666667,27.5000000
t023,21.6093750,1.4406250,2.0000000,4.0000000,9.5833333,28.7500000
t024,22.5000000,1.5000000,2.0000000,4.0000000,10.0000000,30.0000000
t025,22.5000000,1.5000000,2.0000000,4.0000000,10.4166667,30.0000000
t026,22.5000000,1.5000000,2.0000000,4.0000000,10.8333333,30.0000000
t027,22.5000000,1.5000000,2.0000000,4.0000000,11.2500000,30.0000000
t028,22.5000000,1.5000000,2.0000000,4.0000000,11.6666667,30.0000000
t029,22.5000000,1.5000000,2.0000000,4.0000000,12.0833333,30.0000000
t030,22.5000000,1.5000000,2.0000000,4.0000000,12.5000000,30.0000000
t031,22.5000000,1.5000000,2.0000000,4.0000000,12.9166667,30.0000000
t032,22.5000000,1.5000000,2.0000000,4.0000000,13.3333333,30.0000000
t033,22.5000000,1.5000000,2.0000000,4.0000000,13.7500000,30.0000000
t034,22.5000000,1.5000000,2.0000000,4.0000000,14.1666667,30.0000000
t035,22.5000000,1.5000000,2.0000000,4.0000000,14.5833333,30.0000000
t036,22.5000000,1.5000000,2.0000000,4.0000000,15.0000000,30.0000000
t037,22.5000000,1.5000000,2.0000000,4.0000000,15.4166667,30.0000000
t038,22.5000000,1.5000000,2.0000000,4.0000000,15.8333333,30.0000000
t039,22.5000000,1.5000000,2.0000000,4.0000000,16.2500000,30.0000000
t040,22.5000000,1.5000000,2.0000000,4.0000000,16.6666667,30.0000000
t041,22.5000000,1.5000000,2.0000000,4.0000000,17.0833333,30.0000000
t042,22.5000000,1.5000000,2.0000000,4.0000000,17.5000000,30.0000000
t043,22.5000000,1.5000000,2.0000000,4.0000000,17.9166667,30.0000000
t044,22.5000000,1.5000000,2.0000000,4.0000000,18.3333333,30.0000000
t045,22.5000000,1.5000000,2.0000000,4.0000000,18.7500000,30.0000000
t046,22.5000000,1.5000000,2.0000000,4.0000000,19.1666667,30.0000000
t047,22.5000000,1.5000000,2.0000000,4.0000000,19.5833333,30.0000000
t048,22.5000000,1.5000000,2.0000000,4.0000000,20.0000000,30.0000000
t049,22.5000000,1.5000000,2.0000000,4.0000000,20.4166667,30.0000000
t050,22.5000000,1.5000000,2.0000000,4.0000000,20.8333333,30.0000000
t051,22.5000000,1.5000000,2.0000000,4.0000000,21.2500000,30.0000000
