DATA,,,,,,,
key,data,,,,,,
token_name,Serum,,,,,,
token_symbol,SRM,,,,,,
start_date,01/08/20,,,,,,
start_tokens,10000000000,,,,,,
emission_schedule,30D,,,,,,
emission_type,unlock,,,,,,
emission_incentive,,,,,,,
DISTRIBUTION,,,,,,,
entity,Team and Advisors,Seed and Auction Investors,IEO,Ecosystem Incentive Fund,Liquidity Provisioning,Partner and Collaborator Fund,Project Contributors
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,team_advisors,investor,public,ecosystem,ecosystem,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,4,0.06,25.25,1.69,27,22
t000,0,0,0.06,8.25,0.44,0,0
t001,0,0,0.06,8.25,0.44,0,0
t002,0,0,0.06,8.25,0.44,0,0
t003,0,0,0.06,8.25,0.44,0,0
t004,0,0,0.06,8.25,0.44,0,0
t005,0,0,0.06,8.25,0.44,0,0
t006,0,0,0.06,8.25,0.44,0,0
t007,0,0,0.06,8.25,0.44,0,0
t008,0,0,0.06,8.25,0.44,0,0
t009,0,0,0.06,8.25,0.44,0,0
t010,0,0,0.06,8.25,0.44,0,0
t011,0,0,0.06,8.25,0.44,0,0
t012,0,0,0.06,8.25,0.44,0,0
t013,0.277777777777778,0.0555555555555556,0.06,8.48611111111111,0.457361111111111,0.375,0.305555555555556
t014,0.555555555555556,0.111111111111111,0.06,8.72222222222222,0.474722222222222,0.75,0.611111111111111
t015,0.833333333333333,0.166666666666667,0.06,8.95833333333333,0.492083333333333,1.125,0.916666666666667
t016,1.11111111111111,0.222222222222222,0.06,9.19444444444444,0.509444444444444,1.5,1.22222222222222
t017,1.38888888888889,0.277777777777778,0.06,9.43055555555555,0.526805555555556,1.875,1.52777777777778
t018,1.66666666666667,0.333333333333333,0.06,9.66666666666666,0.544166666666667,2.25,1.83333333333333
t019,1.94444444444444,0.388888888888889,0.06,9.90277777777778,0.561527777777778,2.625,2.13888888888889
t020,2.22222222222222,0.444444444444444,0.06,10.1388888888889,0.578888888888889,3,2.44444444444444
t021,2.5,0.5,0.06,10.375,0.59625,3.375,2.75
t022,2.77777777777778,0.555555555555556,0.06,10.6111111111111,0.613611111111111,3.75,3.05555555555556
t023,3.05555555555555,0.611111111111111,0.06,10.8472222222222,0.630972222222223,4.125,3.36111111111111
t024,3.33333333333333,0.666666666666667,0.06,11.0833333333333,0.648333333333334,4.5,3.66666666666667
t025,3.61111111111111,0.722222222222222,0.06,11.3194444444444,0.665694444444445,4.875,3.97222222222222
t026,3.88888888888889,0.777777777777778,0.06,11.5555555555556,0.683055555555556,5.25,4.27777777777778
t027,4.16666666666667,0.833333333333334,0.06,11.7916666666667,0.700416666666667,5.625,4.58333333333333
t028,4.44444444444444,0.888888888888889,0.06,12.0277777777778,0.717777777777778,6,4.88888888888889
t029,4.72222222222222,0.944444444444445,0.06,12.2638888888889,0.73513888888889,6.375,5.19444444444444
t030,5,1,0.06,12.5,0.752500000000001,6.75,5.5
t031,5.27777777777778,1.05555555555556,0.06,12.7361111111111,0.769861111111112,7.125,5.80555555555555
