address,entity
0X447F95026107AAED7472A0470931E689F51E0E42,wormhole
0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,Alex Svanevik
0xd7f0ddcbb0117a53e9ff2cad814b8b810a314f59,Argent
0x55bc991b2edf3ddb4c520b222be4f378418ff0fa,banteg
0xfe45baf0f18c207152a807c1b05926583cfe2e4b,yfi_multisig
0x8d689476eb446a1fb0065bffac32398ed7f89165,certus_one
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,anton_bukov
0xfea88380baff95e85305419eb97247981b1a8eee,team1
0x695c388153bea0fbe3e1c049c149bad3bc917740,team2
0xad4f7415407b83a081a0bee22d05a8fdc18b42da,team3
0xa2dfc431297aee387c05beef507e5335e684fbcd,team4
0x945755de7eac99008c8c57bda96772d50872168b,team5
0xb8d83908aab38a159f3da47a59d84db8e1838712,team6
0x58a764028350ab15899fdccafffd3940e602ceea,team7
0X1597D19659F3DE52ABD475F7D2314DCCA29359BD,team8
0xee217c23131c6f055f7943ef1f80bec99df35244,validator1
0x20921142a35c89be5d002973d2d6b72d9a625fb0,validator2
0x0028e24e4fe5184792bd0cf498c11ae5b76185f5,validator3
0xa6829908f728c6bc5627e2afe93a0b71e978892d,validator4
0x366b9729c5a89ec4618a0ab95f832e411eae8237,validator5
0x32254b28f793cc18b3575c86c61fe3d7421cbbef,validator6
0xafbefc8401c885a0bb6ea6af43f592a015433c65,validator7
0x0028E24e4Fe5184792Bd0Cf498C11AE5b76185f5,validator8
0x9575b7859df77f2a0ef034339b80e24de44ab3f6,validator9
0x663b91628674846e8d1cbb779efc8202d86284e2,validator10
0x8a62a63b877877bd5b1209b9b67f3d2685284268,validator11
0x0bf5566fb5f1f9934a3944aef128a1b1a8cf3f17,validator12
0x62ac238ac055017decab645e7e56176749f316d0,validator13
0x1d3fa8bf35870271115b997b8ecfe18529422a16,validator14
0xadde043f556d1083f060a7298e79eaba08a3a077,validator15
0x68335b3ac272c8238b722963368f87de736b64d6,validator16



